Root Url,Bug Id,Short Description,Sequence Actions,Số bước,Loại lỗi,Độ khó,Chú ý
http://qairline.ui-testing.io.vn/,1,"

Admin can create a flight with a departure time in the past (login with email: admin@gmail.com / password: Cong23032004*)","- Login admin = Fill email + Fill password + Click Login(3 bước)
- Click ""Manage Flights""
- Click ""+ New Flight"".
- Fill ""F2"" in Flight Number.
- Select ""BOE-787-9 Dreamliner"" from the Aircraft dropdown.
- Fill ""80"" into Base Price
- Select ""Ha Noi (GL-HN)"" from Departure Location
- Select ""Da Nang (DN-DN)"" from Arrival Location
- Set Departure Date/Time to ""2026-01-28 03:31 PM"".
- Set Arrival Date/Time to ""2026-01-30 03:31 PM"".
- Click ""Save"".
- Click CloseDialog",14,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Hard,Login admin/user = Fill email/username + Fill password + Click Login => tính là 3 bước
http://qairline.ui-testing.io.vn/,2,"
Admin can create a new flight with an arrival time earlier than the departure time","- Login admin (3 bước)
- Click ""Manage Flights""
- Click ""+ New Flight"".
- Fill ""F3"" in Flight Number.
- Select ""BOE-787-9 Dreamliner"" from the Aircraft dropdown.
- Fill ""80"" into Base Price
- Select ""Ho Chi Minh (TSN-HCM)"" from Departure Location
- Select ""London (LD-UK)"" from Arrival Location
- Set Departure Date/Time to ""2026-01-31 4:00 PM"".
- Set Arrival Date/Time to ""2026-01-30 4:00 PM"".
- Click ""Save"".
- Click CloseDialog",14,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Hard,
http://qairline.ui-testing.io.vn/,3,"
Admin can create two flights with the same flight number (FLIGHT NO.) ","- Login admin 
- Click ""Manage Flights""
- Click ""+ New Flight"".
- Fill ""F1"" in Flight Number.
- Select ""AB_A350"" from the Aircraft dropdown.
- Fill ""200"" into Base Price
- Select ""Ha Noi (GB-HN)"" from Departure Location
- Select ""London (LD-UK)"" from Arrival Location
- Set Departure Date/Time to ""2026-01-31 4:00 PM"".
- Set Arrival Date/Time to ""2026-01-31 8:00PM"".
- Click ""Save"".
- Click CloseDialog",14,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Hard,
http://qairline.ui-testing.io.vn/,4,"
Admin can create a flight with a negative base price  (login with email: admin@gmail.com / password: Cong23032004*)","- Login admin 
- Click ""Manage Flights""
- Click ""+ New Flight"".
- Fill ""F4"" in Flight Number.
- Select ""AB_A350"" from the Aircraft dropdown.
- Fill ""-10"" into Base Price
- Select ""Ha Noi (GB-HN)"" from Departure Location
- Select ""London (LD-UK)"" from Arrival Location
- Set Departure Date/Time to ""2026-01-30 4:00 PM"".
- Set Arrival Date/Time to ""2026-01-30 8:00PM"".
- Click ""Save"".
- Click CloseDialog",14,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Hard,
http://qairline.ui-testing.io.vn/,5,"
Admin can create a new flight using an aircraft that is already assigned to another flight at the same time or with overlapping flight schedules  (login with email: admin@gmail.com / password: Cong23032004*)","- Login admin (3 bước)
- Click ""Manage Flights""
- Click ""+ New Flight"".
- Fill ""F5"" in Flight Number.
- Select ""AB_A350"" from the Aircraft dropdown.
- Fill ""50"" into Base Price
- Select ""Ha Noi (GL-HN)"" from Departure Location
- Select ""Da Nang (DN-DN)"" from Arrival Location
- Set Departure Date/Time to ""2026-01-30 4:30 PM"".
- Set Arrival Date/Time to ""2026-01-30 7:00 PM"".
- Click ""Save"".
- Click CloseDialog",14,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Hard,
http://qairline.ui-testing.io.vn/,6,"Admin deletes an aircraft on the Manage Aircrafts page. After clicking Delete, but the aircraft is still displayed on the interface. The aircraft only disappears after the page is reloaded (login with email: admin@gmail.com / password: Cong23032004*)","Login Admin
Click ""Manage Aircrafts"".
Click the ""Delete BOE-777"" button.
Click ""OK"" on the browser popup.",6,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Medium,
http://qairline.ui-testing.io.vn/,7,"
Admin deletes an aircraft currently assigned to a flight; the Manage Flights page displays a blank screen afterward","Login Admin
Click Manage Flights
Click ""Manage Aircrafts"".
Click ""Delete BOE-787-9-Dreamliner"" button.
Click ""OK"" on the browser popup.
Click ""Manage Flights"" ",8,"Lỗi sập, treo hoặc không khả dụng",Medium,
http://qairline.ui-testing.io.vn/,8,"
Admin can create a new aircraft with a total number of seats equal to 0 (login with email: admin@gmail.com / password: Cong23032004*)","Login Admin
Click ""Manage Aircrafts"".
Click ""+ New Aircraft""
Fill ""BOE-777"" into Aircraft Code
Fill ""Boeing"" into Manufacturer
Fill ""https://osky.1cdn.vn/2024/06/06/boeing-777-about-to-take-off1.jpeg"" into Logo Url
Fill 0 into Economy Seats
Fill 0 into Business Seats
Click ""Save""",11,Lỗi kết quả chức năng hoặc dữ liệu hiển thị,Medium,
http://qairline.ui-testing.io.vn/,9,"
Creating a new flight using an aircraft with a total number of seats equal to 0 results in a blank page. (login with email: admin@gmail.com / password: Cong23032004*)","Login Admin
Click ""Manage Aircrafts"".
Click ""+ New Aircraft""
Fill ""BOE-777"" into Aircraft Code
Fill ""Boeing"" into Manufacturer
Fill ""https://osky.1cdn.vn/2024/06/06/boeing-777-about-to-take-off1.jpeg"" into Logo Url
Fill 0 into Economy Seats
Fill 0 into Business Seats
Click ""Save""
Click ""Manage Flights""
Click ""+ New Flight"".
Fill ""F6"" in Flight Number.
Select ""BOE-777"" from the Aircraft dropdown.
Fill ""100"" into Base Price
Select ""Ha Noi (GL-HN)"" from Departure Location
Select ""Da Nang (DN-DN)"" from Arrival Location
Set Departure Date/Time to ""2026-01-30 6:00 PM"".
Set Arrival Date/Time to ""2026-01-30 8:00 PM"".
Click ""Save"".
Click CloseDialog",22,"Lỗi sập, treo hoặc không khả dụng",Hard,
http://qairline.ui-testing.io.vn/,10,"
Creating a new aircraft with an excessively long Aircraft Code breaks the UI layout, causing the ""+ New Aircraft"" button to overflow outside the screen.","Login Admin
Click ""Manage Aircrafts"".
Click ""+ New Aircraft""
Fill ""BOE-7777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777"" into Aircraft Code
Fill ""Boeing"" into Manufacturer
Fill ""https://osky.1cdn.vn/2024/06/06/boeing-777-about-to-take-off1.jpeg"" into Logo Url
Fill 10 into Economy Seats
Fill 50 into Business Seats
Click ""Save""",11,Lỗi hiển thị giao diện,Medium,
