Root Url,Bug Id,Short Description
http://qairline.ui-testing.io.vn/,1,"

Admin can create a flight with a departure time in the past (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,2,"
Admin can create a new flight with an arrival time earlier than the departure time"
http://qairline.ui-testing.io.vn/,3,"
Admin can create two flights with the same flight number (FLIGHT NO.) "
http://qairline.ui-testing.io.vn/,4,"
Admin can create a flight with a negative base price  (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,5,"
Admin can create a new flight using an aircraft that is already assigned to another flight at the same time or with overlapping flight schedules  (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,6,"Admin deletes an aircraft on the Manage Aircrafts page. After clicking Delete, but the aircraft is still displayed on the interface. The aircraft only disappears after the page is reloaded (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,7,"
Admin deletes an aircraft currently assigned to a flight; the Manage Flights page displays a blank screen afterward"
http://qairline.ui-testing.io.vn/,8,"
Admin can create a new aircraft with a total number of seats equal to 0 (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,9,"
Creating a new flight using an aircraft with a total number of seats equal to 0 results in a blank page. (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,10,"
Creating a new aircraft with an excessively long Aircraft Code breaks the UI layout, causing the ""+ New Aircraft"" button to overflow outside the screen."
http://qairline.ui-testing.io.vn/,11,"
After creating an aircraft with an excessively long Aircraft Code, creating a new flight using that aircraft on the Manage Flights page breaks the UI layout, causing columns such as Class Info and Action to overflow outside the screen (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,12,"
Creating a new aircraft with an excessively long Manufacturer name breaks the UI layout, causing subsequent columns to overflow outside the screen "
http://qairline.ui-testing.io.vn/,13,"
Deleting an airport that is assigned to a scheduled flight causes the Manage Flights page to display a blank screen (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,14,"
The UI fails to redirect to the Home page after admin interacts with any page then clicks Logout as an Admin "
http://qairline.ui-testing.io.vn/,15,"
Users can access flight information on the Admin page by appending /admin/flights to the root URL"
http://qairline.ui-testing.io.vn/,16,"
Users can access aircraft information on the Admin page by appending /admin/aircrafts to the root URL .
"
http://qairline.ui-testing.io.vn/,17,"
Search information entered on the Book Flight page is lost after navigating to another page and returning to Book Flight"
http://qairline.ui-testing.io.vn/,18,"
Users can directly access the successful payment page by appending /checkout-page to the root URL "
http://qairline.ui-testing.io.vn/,19,The ticket prices for Economy and Business classes are the same when user search for a flight
http://qairline.ui-testing.io.vn/,20,"The system allows users to enter a future date of birth when filling in passenger information (user login with email ""cong@gmail.com"" and password ""Cong23032004*"")"
http://qairline.ui-testing.io.vn/,21,"Users can successfully proceed to the next booking step after entering their personal details even without properly agreeing to the terms
(user login with email ""cong@gmail.com"" and password ""Cong23032004*"")"
http://qairline.ui-testing.io.vn/,22,"The passport image is lost when the user navigates back to view the selected seats from the Traveller Details page and then returns to Traveller Details (user login with email ""cong@gmail.com"" and password ""Cong23032004*"")"
http://qairline.ui-testing.io.vn/,23,Airport codes are not displayed on the UI when users search for flight information
http://qairline.ui-testing.io.vn/,24,"On the Current Bookings page, when a cancellation confirmation popup appears, using the browser Back button does not close the popup"
http://qairline.ui-testing.io.vn/,25,"On the Manage Bookings page, filtering bookings for user ""btcong"" shows Results = 2 even though only one booking exists (login with email: admin@gmail.com / password: Cong23032004*)"
http://qairline.ui-testing.io.vn/,26,"On the Manage Bookings page, filtering bookings for user ""Btcong"" returns no results, although the search should be case-insensitive  "
http://qairline.ui-testing.io.vn/,27,"On the Admin Dashboard page, the Total Flights count does not match the actual number of flights."
https://www.saucedemo.com/,28,"The sorting functionality on the Product page is not working (login with username ""error_user"" and password ""secret_sauce"")"
https://www.saucedemo.com/,29,"Clicking Finish to complete payment has no effect (login with username ""error_user"" and password ""secret_sauce"")"
https://www.saucedemo.com/,30,"Cart icon is not properly aligned with other header elements, affecting layout consistency (login with username ""visual_user"" and password ""secret_sauce"")"
